scenario_class,best estimator,features_scaled,number of features,features,accuracy,precision,recall,orig data set,create_new_message_features,create_new_finance_features,PCA,meet_specs,performance
1,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,6,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments']",0.865285714,0.531596452,0.4795,TRUE,FALSE,FALSE,FALSE,1,1.011096452
1,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,9,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'total_messages', 'total_poi_related_messages', 'total_poi_message_ratio']",0.850214286,0.472920156,0.4235,FALSE,TRUE,FALSE,FALSE,1,0.896420156
1,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,14,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'bonus_squared', 'bonus_log', 'director_fees_squared', 'director_fees_log', 'expenses_squared', 'expenses_log', 'total_payments_squared', 'total_payments_log']",0.863,0.522331155,0.4795,FALSE,FALSE,TRUE,FALSE,1,1.001831155
1,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,17,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'total_messages', 'total_poi_related_messages', 'total_poi_message_ratio', 'bonus_squared', 'bonus_log', 'director_fees_squared', 'director_fees_log', 'expenses_squared', 'expenses_log', 'total_payments_squared', 'total_payments_log']",0.848857143,0.468026461,0.4245,FALSE,TRUE,TRUE,FALSE,1,0.892526461
2,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",not scaled,6,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments']",0.865285714,0.531596452,0.4795,TRUE,FALSE,FALSE,FALSE,1,1.011096452
2,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",not scaled,9,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'total_messages', 'total_poi_related_messages', 'total_poi_message_ratio']",0.850214286,0.472920156,0.4235,FALSE,TRUE,FALSE,FALSE,1,0.896420156
2,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",not scaled,14,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'bonus_squared', 'bonus_log', 'director_fees_squared', 'director_fees_log', 'expenses_squared', 'expenses_log', 'total_payments_squared', 'total_payments_log']",0.864214286,0.527123288,0.481,FALSE,FALSE,TRUE,FALSE,1,1.008123288
2,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",not scaled,17,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses', 'total_payments', 'total_messages', 'total_poi_related_messages', 'total_poi_message_ratio', 'bonus_squared', 'bonus_log', 'director_fees_squared', 'director_fees_log', 'expenses_squared', 'expenses_log', 'total_payments_squared', 'total_payments_log']",0.848642857,0.46728972,0.425,FALSE,TRUE,TRUE,FALSE,1,0.89228972
3,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,5,"['poi', 'bonus', 'director_fees', 'expenses', 'total_payments']",0.860615385,0.555819477,0.468,TRUE,FALSE,FALSE,FALSE,1,1.023819477
3,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,5,"['poi', 'from_poi_to_this_person', 'director_fees', 'expenses', 'total_payments']",0.7725,0.247119078,0.2895,TRUE,FALSE,FALSE,FALSE,0,0.536619078
3,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,5,"['poi', 'from_poi_to_this_person', 'bonus', 'expenses', 'total_payments']",0.862769231,0.562427746,0.4865,TRUE,FALSE,FALSE,FALSE,1,1.048927746
3,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,5,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'total_payments']",0.828428571,0.160472973,0.0475,TRUE,FALSE,FALSE,FALSE,0,0.207972973
3,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1,
          n_estimators=3, random_state=None)",scaled,5,"['poi', 'from_poi_to_this_person', 'bonus', 'director_fees', 'expenses']",0.856461538,0.53718091,0.484,TRUE,FALSE,FALSE,FALSE,1,1.02118091
